price_date,brand,category,description,currency,page,0km,2025,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
,APACHE SOLIS,Tractores,26 - GT 4WD Agricola s/cabina,u$s,4,18800.0,18000.0,17300.0,16600.0,16000.0,15300.0,14700.0,14100.0,13600.0,,,,,,,
,APACHE SOLIS,Tractores,26 - GT 4WD Parquero s/cabina,u$s,4,19500.0,18700.0,18000.0,17300.0,16600.0,15900.0,15300.0,14700.0,14100.0,,,,,,,
,APACHE SOLIS,Tractores,"35 - RX 2WD s/cabina 36,5 HP",u$s,5,23500.0,22600.0,21700.0,20800.0,20000.0,19200.0,18400.0,17700.0,17000.0,,,,,,,
,APACHE SOLIS,Tractores,50 - RX 2WD s/cabina 47.2 HP,u$s,5,26100.0,25100.0,24100.0,23100.0,22200.0,21300.0,20400.0,19600.0,18800.0,18100.0,17400.0,,,,,
,APACHE SOLIS,Tractores,50 - RX 4WD s/cabina 47.2 HP,u$s,5,31800.0,30500.0,29300.0,28100.0,27000.0,25900.0,24900.0,23900.0,22900.0,22000.0,21100.0,,,,,
,APACHE SOLIS,Tractores,"60 - RX 2WD s/cabina 59,3 HP",u$s,5,28500.0,27400.0,26300.0,25200.0,24200.0,23200.0,22300.0,21400.0,20600.0,19700.0,18900.0,,,,,
,APACHE SOLIS,Tractores,60 - RX 4WD s/cabina 59.3 HP,u$s,5,34300.0,32900.0,31600.0,30300.0,29100.0,28000.0,26800.0,25800.0,24700.0,23800.0,22800.0,,,,,
,APACHE SOLIS,Tractores,75 - RX 2WD s/cabina 69.7 HP,u$s,5,37500.0,36000.0,34600.0,33200.0,31900.0,30600.0,29400.0,28200.0,27100.0,26000.0,24900.0,,,,,
,APACHE SOLIS,Tractores,75 - RX 4WD s/cabina 69.7 HP,u$s,5,44700.0,42900.0,41200.0,39500.0,38000.0,36400.0,35000.0,33600.0,32200.0,31000.0,29700.0,,,,,
,APACHE SOLIS,Tractores,75 - WT 2WD s/cabina 69.7 HP,u$s,5,46300.0,44400.0,42700.0,41000.0,39300.0,37800.0,36200.0,34800.0,33400.0,32100.0,30800.0,,,,,
,APACHE SOLIS,Tractores,75 - WT 4WD s/cabina 69.7 HP,u$s,5,50900.0,48900.0,46900.0,45000.0,43200.0,41500.0,39800.0,38200.0,36700.0,35300.0,33800.0,,,,,
,APACHE SOLIS,Tractores,90 - WT 2WD s/cabina 87.3 HP,u$s,5,48300.0,46400.0,44500.0,42700.0,41000.0,39400.0,37800.0,36300.0,34800.0,33400.0,32100.0,,,,,
,APACHE SOLIS,Tractores,90 - WT 4WD s/cabina 87.3 HP,u$s,5,53600.0,51500.0,49400.0,47400.0,45500.0,43700.0,42000.0,40300.0,38700.0,37100.0,35600.0,,,,,
,APACHE SOLIS,Tractores,35 - RX 2WD s/cabina 36.5 HP c/techo,u$s,5,24100.0,23100.0,22200.0,21300.0,20500.0,19700.0,18900.0,18100.0,17400.0,16700.0,16000.0,,,,,
,APACHE SOLIS,Tractores,50 - RX 2WD s/cabina 47.2 HP c/techo,u$s,5,26700.0,25600.0,24600.0,23600.0,22700.0,21800.0,20900.0,20100.0,19300.0,18500.0,17800.0,,,,,
,APACHE SOLIS,Tractores,50 - RX 4WD s/cabina 47.2 HP c/techo,u$s,5,32400.0,31100.0,29900.0,28700.0,27500.0,26400.0,25400.0,24300.0,23400.0,22400.0,21500.0,,,,,
,APACHE SOLIS,Tractores,60 - RX 2WD s/cabina 59.3 HP c/techo,u$s,5,29100.0,27900.0,26800.0,25700.0,24700.0,23700.0,22800.0,21900.0,21000.0,20200.0,19300.0,,,,,
,APACHE SOLIS,Tractores,60 - RX 4WD s/cabina 59.3 HP c/techo,u$s,5,34100.0,32700.0,31400.0,30200.0,29000.0,27800.0,26700.0,25600.0,24600.0,23600.0,22700.0,,,,,
,APACHE SOLIS,Tractores,75 - RX 2WD s/cabina 69.7 HP c/techo,u$s,5,38000.0,36500.0,35000.0,33600.0,32300.0,31000.0,29700.0,28600.0,27400.0,26300.0,25300.0,24300.0,23300.0,,,
,APACHE SOLIS,Tractores,75 - RX 4WD s/cabina 69.7 HP c/techo,u$s,5,45300.0,43500.0,41700.0,40100.0,38500.0,36900.0,35500.0,34000.0,32700.0,31400.0,30100.0,28900.0,27800.0,,,
,APACHE SOLIS,Tractores,75 - WT 4WD s/cabina 69.7 HP c/techo,u$s,5,51500.0,49400.0,47500.0,45600.0,43700.0,42000.0,40300.0,38700.0,37200.0,35700.0,34200.0,32900.0,31600.0,,,
,APACHE SOLIS,Tractores,90 - WT 2WD s/cabina 87.3 HP c/techo,u$s,5,48900.0,46900.0,45100.0,43300.0,41500.0,39900.0,38300.0,36700.0,35300.0,33900.0,32500.0,31200.0,30000.0,,,
,APACHE SOLIS,Tractores,90 - WT 4WD s/cabina 87.3 HP c/techo,u$s,5,54200.0,52000.0,50000.0,48000.0,46000.0,44200.0,42400.0,40700.0,39100.0,37500.0,36000.0,34600.0,33200.0,,,
,APACHE SOLIS,Tractores,90 WT c/cabina 84.3 HP,u$s,6,61900.0,59400.0,57000.0,54800.0,52600.0,50500.0,48500.0,,,,,,,,,
,APACHE SOLIS,Tractores,110 WT 4WD s/cabina 106 HP c/techo,u$s,6,69600.0,66800.0,64100.0,61600.0,59100.0,56800.0,54500.0,,,,,,,,,
,CASE,Tractores Quantum,65v 4x4 Plataformado c/3 puntos 65cv,u$s,6,54400.0,52200.0,50100.0,48100.0,46200.0,44400.0,42600.0,,,,,,,,,
,CASE,Tractores Quantum,65v 4x4 Cabinado c/3 puntos 65cv,u$s,6,65500.0,62900.0,60400.0,58000.0,55600.0,53400.0,51300.0,,,,,,,,,
